,time,value
682,2021052910,75.12
683,2021052911,73.0
684,2021052912,70.06
685,2021052913,56.31
686,2021052914,80.22
687,2021052915,63.39
688,2021052916,56.699997
689,2021052917,56.5
690,2021052918,72.06
691,2021052919,84.259995
692,2021052920,85.31
693,2021052921,86.52
694,2021052922,89.11
695,2021052923,96.479996
696,2021053000,100.770004
697,2021053001,101.28
698,2021053002,100.32
699,2021053003,99.52
700,2021053004,98.759995
701,2021053005,104.14
702,2021053006,101.85
703,2021053007,99.51
704,2021053008,95.53
705,2021053009,89.909996
706,2021053010,86.06
707,2021053011,84.07
708,2021053012,83.45
709,2021053013,81.84
710,2021053014,82.53
711,2021053015,80.48
712,2021053016,80.22
713,2021053017,80.380005
714,2021053018,78.89
715,2021053019,70.32
716,2021053020,80.91
717,2021053021,78.54
718,2021053022,74.73
719,2021053023,87.96
720,2021053100,91.57
721,2021053101,91.299995
722,2021053102,92.96999
723,2021053103,90.53999
724,2021053104,91.95
725,2021053105,87.19
726,2021053106,74.45
727,2021053107,81.509995
728,2021053108,78.97
729,2021053109,51.449997
730,2021053110,70.52
731,2021053111,71.16
732,2021053112,77.21
733,2021053113,69.64
734,2021053114,53.45
735,2021053115,57.62
736,2021053116,61.12
737,2021053117,63.059998
738,2021053118,56.01
739,2021053119,58.859997
740,2021053120,79.86
741,2021053121,86.009995
742,2021053122,92.28
743,2021053123,97.76
